,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
9,2022-10-02 23:57:12,0.0,7.8,0.0,0.22,0.0,241.67,4.59,22.73,1.0,20.59,1.0,24.69,0.0,19.87,0.09,16220187,1.0,50.04
8,2022-10-03 00:00:10,0.0,7.8,0.0,0.22,0.0,241.58,4.56,22.73,1.0,20.53,1.0,24.69,0.0,19.82,0.09,16220187,1.0,50.01
7,2022-10-03 00:03:10,0.0,7.81,0.0,0.93,0.0,240.13,555.66,22.74,1.0,597.73,0.93,24.7,0.0,220.28,2.49,16220187,1.0,49.93
6,2022-10-03 00:06:10,0.0,7.82,0.0,0.96,0.0,238.87,1030.94,22.79,1.0,1072.96,0.96,24.75,0.0,297.31,4.49,16220187,1.0,49.93
5,2022-10-03 00:09:11,0.0,7.84,0.0,0.96,0.0,239.31,1080.77,22.84,1.0,1123.94,0.96,24.81,0.0,308.53,4.7,16220187,1.0,50.0
4,2022-10-03 00:12:11,0.0,7.85,0.0,0.96,0.0,238.73,1089.61,22.9,1.0,1132.54,0.96,24.87,0.0,308.85,4.74,16220187,1.0,50.02
3,2022-10-03 00:15:11,0.0,7.87,0.0,0.96,0.0,238.51,1084.92,22.95,1.0,1127.2,0.96,24.92,0.0,305.81,4.73,16220187,1.0,49.99
2,2022-10-03 00:18:11,0.0,7.88,0.0,0.04,0.0,241.47,1.68,22.98,1.0,38.54,1.0,24.95,0.0,38.5,0.16,16220187,1.0,49.92
1,2022-10-03 00:21:11,0.0,7.88,0.0,0.04,0.0,240.86,1.58,22.98,1.0,38.3,1.0,24.95,0.0,38.26,0.16,16220187,1.0,49.9
0,2022-10-03 00:24:11,0.0,7.88,0.0,0.22,0.0,241.14,4.52,22.98,1.0,20.21,1.0,24.96,0.0,19.5,0.08,16220187,1.0,49.93
19,2022-10-03 00:27:14,0.0,7.88,0.0,0.22,0.0,240.98,4.63,22.98,1.0,20.82,1.0,24.96,0.0,20.1,0.09,16220187,1.0,49.97
18,2022-10-03 00:30:14,0.0,7.88,0.0,0.22,0.0,240.8,4.56,22.98,1.0,20.52,1.0,24.96,0.0,19.8,0.09,16220187,1.0,49.99
17,2022-10-03 00:33:08,0.0,7.88,0.0,0.22,0.0,241.41,4.41,22.98,1.0,20.18,1.0,24.96,0.0,19.5,0.08,16220187,1.0,49.97
16,2022-10-03 00:36:08,0.0,7.88,0.0,0.22,0.0,241.96,4.44,22.98,1.0,20.28,1.0,24.96,0.0,19.59,0.08,16220187,1.0,50.01
15,2022-10-03 00:39:08,0.0,7.89,0.0,0.95,0.0,239.74,857.06,23.01,1.0,899.17,0.95,24.99,0.0,271.96,3.75,16220187,1.0,50.0
14,2022-10-03 00:42:07,0.0,7.91,0.0,0.96,0.0,239.95,1054.61,23.06,1.0,1097.2,0.96,25.04,0.0,302.73,4.57,16220187,1.0,50.01
13,2022-10-03 00:45:19,0.0,7.92,0.0,0.96,0.0,240.35,1071.9,23.11,1.0,1115.08,0.96,25.1,0.0,307.3,4.64,16220187,1.0,49.98
12,2022-10-03 00:48:19,0.0,7.94,0.0,0.96,0.0,239.6,1091.73,23.17,1.0,1134.99,0.96,25.15,0.0,310.34,4.74,16220187,1.0,49.95
11,2022-10-03 00:51:08,0.0,7.95,0.0,0.96,0.0,240.21,1079.76,23.22,1.0,1123.17,0.96,25.21,0.0,309.26,4.68,16220187,1.0,49.97
10,2022-10-03 00:54:08,0.0,7.96,0.0,0.05,0.0,243.75,1.76,23.23,1.0,39.1,1.0,25.22,0.0,39.06,0.16,16220187,1.0,50.02
29,2022-10-03 00:57:09,0.0,7.96,0.0,0.23,0.0,243.35,4.6,23.23,1.0,20.44,1.0,25.22,0.0,19.72,0.08,16220187,1.0,50.03
28,2022-10-03 01:00:10,0.0,7.96,0.0,0.22,0.0,242.83,4.55,23.23,1.0,20.69,1.0,25.22,0.0,19.98,0.09,16220187,1.0,50.03
27,2022-10-03 01:03:10,0.0,7.96,0.0,0.22,0.0,242.99,4.59,23.23,1.0,20.41,1.0,25.22,0.0,19.69,0.08,16220187,1.0,49.92
26,2022-10-03 01:06:10,0.0,7.96,0.0,0.22,0.0,241.95,4.4,23.23,1.0,20.13,1.0,25.23,0.0,19.45,0.08,16220187,1.0,49.89
25,2022-10-03 01:09:10,0.0,7.96,0.0,0.22,0.0,242.91,4.56,23.23,1.0,20.55,1.0,25.23,0.0,19.84,0.09,16220187,1.0,49.93
24,2022-10-03 01:12:09,0.0,7.97,0.0,0.22,0.0,242.98,4.59,23.23,1.0,20.41,1.0,25.23,0.0,19.69,0.08,16220187,1.0,49.9
23,2022-10-03 01:15:09,0.0,7.97,0.0,0.22,0.0,243.05,4.54,23.23,1.0,20.42,1.0,25.23,0.0,19.7,0.08,16220187,1.0,49.9
22,2022-10-03 01:18:22,0.0,7.97,0.0,0.22,0.0,243.18,4.43,23.23,1.0,20.09,1.0,25.23,0.0,19.4,0.08,16220187,1.0,49.9
21,2022-10-03 01:21:15,0.0,7.97,0.0,0.22,0.0,243.54,4.56,23.23,1.0,20.7,1.0,25.23,0.0,19.99,0.09,16220187,1.0,49.91
20,2022-10-03 01:24:15,0.0,7.97,0.0,0.22,0.0,242.89,4.39,23.23,1.0,20.4,1.0,25.23,0.0,19.73,0.08,16220187,1.0,49.93
35,2022-10-03 01:27:15,0.0,7.97,0.0,0.22,0.0,244.27,4.59,23.23,1.0,20.76,1.0,25.23,0.0,20.05,0.09,16220187,1.0,49.98
34,2022-10-03 01:30:15,0.0,7.97,0.0,0.21,0.0,243.63,4.34,23.23,1.0,20.37,1.0,25.23,0.0,19.7,0.08,16220187,1.0,49.95
33,2022-10-03 01:33:15,0.0,7.97,0.0,0.22,0.0,244.08,4.47,23.23,1.0,20.5,1.0,25.23,0.0,19.81,0.08,16220187,1.0,49.92
32,2022-10-03 01:36:15,0.0,7.97,0.0,0.22,0.0,243.05,4.46,23.23,1.0,20.66,1.0,25.24,0.0,19.97,0.09,16220187,1.0,49.95
31,2022-10-03 01:39:22,0.0,7.97,0.0,0.21,0.0,244.23,4.26,23.23,1.0,20.17,1.0,25.24,0.0,19.52,0.08,16220187,1.0,49.93
30,2022-10-03 01:42:19,0.0,7.98,0.0,0.91,0.0,242.42,453.38,23.24,1.0,497.83,0.91,25.24,0.0,205.63,2.05,16220187,1.0,49.95
39,2022-10-03 04:46:53,0.0,7.98,0.0,0.06,0.0,241.45,2.56,23.24,1.0,43.46,1.0,25.24,0.0,42.95,0.18,16220187,1.0,50.03
38,2022-10-03 04:48:23,0.0,7.98,0.0,0.06,0.0,241.16,2.8,23.24,1.0,43.75,1.0,25.24,0.0,43.22,0.18,16220187,1.0,50.06
37,2022-10-03 04:51:23,0.0,7.98,0.0,0.95,0.0,239.42,764.46,23.25,1.0,805.07,0.95,25.26,0.0,252.47,3.36,16220187,1.0,50.01
36,2022-10-03 04:54:23,0.0,8.0,0.0,0.96,0.0,238.22,993.27,23.3,1.0,1033.97,0.96,25.3,0.0,287.24,4.34,16220187,1.0,49.98
49,2022-10-03 04:57:23,0.0,8.01,0.0,0.03,0.0,240.92,1.23,23.34,1.0,38.5,1.0,25.34,0.0,38.48,0.16,16220187,1.0,50.01
48,2022-10-03 05:00:23,0.0,8.01,0.0,0.04,0.0,240.93,1.4,23.34,1.0,38.16,1.0,25.35,0.0,38.14,0.16,16220187,1.0,50.07
47,2022-10-03 05:03:23,0.0,8.01,0.0,0.23,0.0,240.97,4.7,23.34,1.0,20.19,1.0,25.35,0.0,19.44,0.08,16220187,1.0,50.02
46,2022-10-03 05:06:19,0.0,8.01,0.0,0.23,0.0,241.11,4.72,23.34,1.0,20.49,1.0,25.35,0.0,19.74,0.09,16220187,1.0,49.94
45,2022-10-03 05:09:44,0.0,8.02,0.0,0.22,0.0,241.34,4.42,23.34,1.0,19.69,1.0,25.35,0.0,19.0,0.08,16220187,1.0,50.01
44,2022-10-03 05:12:24,0.0,8.02,0.0,0.23,0.0,240.74,4.6,23.34,1.0,19.64,1.0,25.35,0.0,18.91,0.08,16220187,1.0,49.99
43,2022-10-03 05:15:24,0.0,8.02,0.0,0.23,0.0,240.4,4.61,23.34,1.0,19.95,1.0,25.35,0.0,19.22,0.08,16220187,1.0,50.01
42,2022-10-03 05:18:24,0.0,8.02,0.0,0.23,0.0,240.16,4.61,23.34,1.0,19.98,1.0,25.35,0.0,19.25,0.08,16220187,1.0,50.03
41,2022-10-03 05:21:42,0.0,8.02,0.0,0.23,0.0,239.27,4.48,23.34,1.0,19.67,1.0,25.35,0.0,18.96,0.08,16220187,1.0,49.98
40,2022-10-03 05:24:23,0.0,8.02,0.0,0.24,0.0,238.95,4.75,23.34,1.0,20.02,1.0,25.36,0.0,19.26,0.08,16220187,1.0,49.95
59,2022-10-03 05:27:44,0.0,8.02,0.0,0.23,0.0,238.72,4.53,23.34,1.0,19.62,1.0,25.36,0.0,18.9,0.08,16220187,1.0,49.99
58,2022-10-03 05:30:14,0.0,8.02,0.0,0.24,0.0,239.52,4.75,23.34,1.0,19.88,1.0,25.36,0.0,19.11,0.08,16220187,1.0,50.06
57,2022-10-03 05:33:14,0.0,8.02,0.0,0.23,0.0,238.6,4.64,23.34,1.0,19.85,1.0,25.36,0.0,19.11,0.08,16220187,1.0,50.06
56,2022-10-03 05:36:14,0.0,8.02,0.0,0.24,0.0,238.46,4.75,23.34,1.0,19.84,1.0,25.36,0.0,19.07,0.08,16220187,1.0,50.01
55,2022-10-03 05:39:14,0.0,8.02,0.0,0.24,0.0,238.01,4.74,23.34,1.0,20.14,1.0,25.36,0.0,19.37,0.09,16220187,1.0,50.0
54,2022-10-03 05:42:14,0.0,8.03,0.0,0.24,0.0,238.61,4.88,23.34,1.0,20.66,1.0,25.36,0.0,19.88,0.09,16220187,1.0,50.0
53,2022-10-03 05:45:14,0.0,8.03,0.0,0.24,0.0,238.38,4.78,23.34,1.0,20.17,1.0,25.36,0.0,19.4,0.09,16220187,1.0,50.05
52,2022-10-03 05:48:14,0.0,8.03,0.0,0.95,0.0,235.83,787.6,23.35,1.0,826.26,0.95,25.38,0.0,249.8,3.51,16220187,1.0,50.04
51,2022-10-03 05:51:14,0.0,8.05,0.0,0.96,0.0,234.72,1019.09,23.4,1.0,1059.67,0.96,25.42,0.0,290.44,4.51,16220187,1.0,49.95
50,2022-10-03 05:54:14,0.0,8.06,0.0,0.96,0.0,234.73,1058.45,23.45,1.0,1099.29,0.96,25.48,0.0,296.83,4.68,16220187,1.0,49.98
69,2022-10-03 05:57:14,0.0,8.08,0.0,0.96,0.0,235.35,1084.68,23.51,1.0,1126.53,0.96,25.53,0.0,304.18,4.79,16220187,1.0,50.06
68,2022-10-03 06:00:14,0.0,8.09,0.0,0.96,0.0,235.58,1063.03,23.56,1.0,1104.12,0.96,25.59,0.0,298.38,4.69,16220187,1.0,50.09
67,2022-10-03 06:03:14,0.0,8.1,0.0,0.02,0.0,237.25,0.8,23.58,1.0,38.34,1.0,25.62,0.0,38.33,0.16,16220187,1.0,50.08
66,2022-10-03 06:06:14,0.0,8.1,0.0,0.03,0.0,236.04,0.95,23.58,1.0,37.86,1.0,25.62,0.0,37.85,0.16,16220187,1.0,50.01
65,2022-10-03 06:09:14,0.0,8.1,0.0,0.24,0.0,236.09,4.85,23.58,1.0,20.45,1.0,25.62,0.0,19.66,0.09,16220187,1.0,49.99
64,2022-10-03 06:12:14,0.0,8.1,0.0,0.23,0.0,239.72,4.81,23.58,1.0,20.9,1.0,25.62,0.0,20.14,0.09,16220187,1.0,49.98
63,2022-10-03 06:15:14,0.0,8.1,0.0,0.23,0.0,239.98,4.82,23.58,1.0,20.88,1.0,25.62,0.0,20.11,0.09,16220187,1.0,50.06
62,2022-10-03 06:18:14,0.0,8.11,0.0,0.23,0.0,239.52,4.73,23.59,1.0,20.89,1.0,25.62,0.0,20.14,0.09,16220187,1.0,50.06
61,2022-10-03 06:21:14,0.0,8.11,0.0,0.23,0.0,239.52,4.62,23.59,1.0,20.41,1.0,25.62,0.0,19.68,0.09,16220187,1.0,50.01
60,2022-10-03 06:24:01,0.0,8.12,0.0,0.95,0.0,237.19,833.18,23.61,1.0,874.38,0.95,25.65,0.0,265.24,3.69,16220187,1.0,49.95
79,2022-10-03 06:27:01,0.0,8.13,0.0,0.96,0.0,236.85,1033.42,23.66,1.0,1074.26,0.96,25.7,0.0,293.37,4.54,16220187,1.0,50.02
78,2022-10-03 06:30:59,0.0,8.15,0.0,0.96,0.0,236.99,1052.86,23.73,1.0,1094.89,0.96,25.77,0.0,300.46,4.62,16220187,1.0,50.05
77,2022-10-03 06:33:29,0.0,8.16,0.0,0.96,0.0,236.09,1049.24,23.77,1.0,1090.83,0.96,25.82,0.0,298.35,4.62,16220187,1.0,50.04
76,2022-10-03 06:36:29,0.0,8.18,0.0,0.96,0.0,236.64,906.75,23.82,1.0,945.99,0.96,25.87,0.0,269.63,4.0,16220187,1.0,50.02
75,2022-10-03 06:39:29,0.0,8.18,0.0,0.03,0.0,237.78,1.29,23.83,1.0,38.66,1.0,25.88,0.0,38.64,0.16,16220187,1.0,49.98
74,2022-10-03 06:42:29,0.0,8.18,0.0,0.23,0.0,238.62,4.82,23.83,1.0,20.95,1.0,25.88,0.0,20.19,0.09,16220187,1.0,50.02
73,2022-10-03 06:45:01,0.0,8.18,0.0,0.22,0.0,237.61,4.75,23.83,1.0,21.57,1.0,25.88,0.0,20.84,0.09,16220187,1.0,49.98
72,2022-10-03 06:48:01,0.0,8.18,0.0,0.22,0.0,238.5,4.63,23.83,1.0,20.84,1.0,25.88,0.0,20.12,0.09,16220187,1.0,50.04
71,2022-10-03 06:51:01,0.0,8.18,0.0,0.21,0.0,238.24,4.6,23.83,1.0,21.39,1.0,25.88,0.0,20.69,0.09,16220187,1.0,50.01
70,2022-10-03 06:54:01,0.0,8.19,0.0,0.22,0.0,238.48,4.68,23.83,1.0,21.13,1.0,25.88,0.0,20.4,0.09,16220187,1.0,49.99
89,2022-10-03 06:57:01,0.0,8.19,0.0,0.91,0.0,237.72,407.04,23.83,1.0,449.62,0.91,25.89,0.0,190.99,1.89,16220187,1.0,50.0
88,2022-10-03 07:00:01,0.0,8.2,0.0,0.96,0.0,236.35,987.42,23.87,1.0,1028.08,0.96,25.93,0.0,286.24,4.35,16220187,1.0,50.03
87,2022-10-03 07:03:01,0.0,8.21,0.0,0.96,0.0,236.13,1015.4,23.92,1.0,1056.16,0.96,25.98,0.0,290.6,4.47,16220187,1.0,50.03
86,2022-10-03 07:06:04,0.0,8.23,0.0,0.96,0.0,234.85,1018.14,23.97,1.0,1058.94,0.96,26.03,0.0,291.1,4.51,16220187,1.0,50.01
85,2022-10-03 07:09:04,0.0,8.24,0.0,0.96,0.0,234.76,1016.4,24.02,1.0,1057.31,0.96,26.08,0.0,291.28,4.5,16220187,1.0,49.95
84,2022-10-03 07:12:04,0.0,8.26,0.0,0.78,0.0,239.48,90.72,24.06,1.0,116.58,1.0,26.13,0.0,72.48,0.49,16220187,1.0,49.96
83,2022-10-03 07:15:03,0.0,8.26,0.0,0.03,0.0,240.49,1.35,24.06,1.0,39.39,1.0,26.13,0.0,39.37,0.16,16220187,1.0,50.05
82,2022-10-03 07:18:03,0.0,8.26,0.0,0.22,0.0,239.21,4.7,24.06,1.0,21.24,1.0,26.14,0.0,20.51,0.09,16220187,1.0,50.05
81,2022-10-03 07:21:03,0.0,8.26,0.0,0.22,0.0,240.15,4.7,24.07,1.0,21.76,1.0,26.14,0.0,21.03,0.09,16220187,1.0,50.01
80,2022-10-03 07:24:04,0.0,8.26,0.0,0.22,0.0,239.68,4.69,24.07,1.0,21.19,1.0,26.14,0.0,20.46,0.09,16220187,1.0,50.0
99,2022-10-03 07:27:26,0.0,8.26,0.0,0.22,0.0,239.8,4.75,24.07,1.0,21.44,1.0,26.14,0.0,20.7,0.09,16220187,1.0,50.01
98,2022-10-03 07:30:24,0.0,8.26,0.0,0.22,0.0,238.41,4.83,24.07,1.0,21.5,1.0,26.14,0.0,20.75,0.09,16220187,1.0,49.99
